stimindex,value,rpe,sim_reward,sub,reward,sim
1,0.0,0.0,0.0,101,acc,none
2,0.0,1.0,1.0,101,acc,none
1,0.0,0.0,0.0,101,acc,none
2,0.0,0.0,0.0,101,acc,none
1,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
3,0.0,1.0,1.0,101,acc,none
1,0.0,0.0,0.0,101,acc,none
4,0.374062508345,0.625937521458,1.0,101,acc,none
3,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
1,0.0,0.0,0.0,101,acc,none
5,0.608202219009,0.391797751188,1.0,101,acc,none
2,0.0,0.0,0.0,101,acc,none
4,0.0,0.0,0.0,101,acc,none
3,0.0,0.0,0.0,101,acc,none
4,0.0,0.0,0.0,101,acc,none
1,0.0,0.0,0.0,101,acc,none
2,0.0,1.0,1.0,101,acc,none
3,0.374062508345,0.625937521458,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
2,0.0,1.0,1.0,101,acc,none
3,0.374062508345,0.625937521458,1.0,101,acc,none
2,0.0,0.0,0.0,101,acc,none
3,0.0,1.0,1.0,101,acc,none
5,0.374062508345,0.625937521458,1.0,101,acc,none
4,0.374062508345,0.625937521458,1.0,101,acc,none
4,0.608202219009,0.391797751188,1.0,101,acc,none
6,0.0,0.0,0.0,101,acc,none
5,0.754759073257,0.245240911841,1.0,101,acc,none
6,0.846494495869,0.153505474329,1.0,101,acc,none
4,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
5,0.0,1.0,1.0,101,acc,none
5,0.608202219009,0.391797751188,1.0,101,acc,none
6,0.608202219009,0.391797751188,1.0,101,acc,none
7,0.0,0.0,0.0,101,acc,none
8,0.903915166855,0.0960848331451,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
7,0.0,0.0,0.0,101,acc,none
6,0.754759073257,0.245240911841,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
5,0.0,0.0,0.0,101,acc,none
6,0.374062508345,0.625937521458,1.0,101,acc,none
6,0.608202219009,0.391797751188,1.0,101,acc,none
7,0.754759073257,0.245240911841,1.0,101,acc,none
7,0.608202219009,0.391797751188,1.0,101,acc,none
7,0.754759073257,0.245240911841,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
8,0.754759073257,0.245240911841,1.0,101,acc,none
9,0.0,0.0,0.0,101,acc,none
9,0.0,0.0,0.0,101,acc,none
10,0.939856886864,0.0601431019604,1.0,101,acc,none
8,0.0,0.0,0.0,101,acc,none
11,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
9,0.0,0.0,0.0,101,acc,none
10,0.846494495869,0.153505474329,1.0,101,acc,none
10,0.846494495869,0.153505474329,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
8,0.0,0.0,0.0,101,acc,none
11,0.903915166855,0.0960848331451,1.0,101,acc,none
9,0.754759073257,0.245240911841,1.0,101,acc,none
11,0.903915166855,0.0960848331451,1.0,101,acc,none
12,0.939856886864,0.0601431019604,1.0,101,acc,none
10,0.846494495869,0.153505474329,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
7,0.0,0.0,0.0,101,acc,none
8,0.846494495869,0.153505474329,1.0,101,acc,none
11,0.903915166855,0.0960848331451,1.0,101,acc,none
12,0.962354183197,0.0376458242536,1.0,101,acc,none
12,0.939856886864,0.0601431019604,1.0,101,acc,none
13,0.0,0.0,0.0,101,acc,none
8,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
9,0.0,0.0,0.0,101,acc,none
10,0.0,0.0,0.0,101,acc,none
9,0.0,0.0,0.0,101,acc,none
10,0.846494495869,0.153505474329,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
13,0.962354183197,0.0376458242536,1.0,101,acc,none
11,0.903915166855,0.0960848331451,1.0,101,acc,none
14,0.962354183197,0.0376458242536,1.0,101,acc,none
11,0.0,0.0,0.0,101,acc,none
12,0.903915166855,0.0960848331451,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
12,0.939856886864,0.0601431019604,1.0,101,acc,none
14,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
12,0.939856886864,0.0601431019604,1.0,101,acc,none
13,0.976436078548,0.0235639326274,1.0,101,acc,none
14,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
15,0.976436078548,0.0235639326274,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
13,0.962354183197,0.0376458242536,1.0,101,acc,none
14,0.976436078548,0.0235639326274,1.0,101,acc,none
15,0.985250473022,0.0147495493293,1.0,101,acc,none
13,0.939856886864,0.0601431019604,1.0,101,acc,none
14,0.0,0.0,0.0,101,acc,none
15,0.985250473022,0.0147495493293,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
13,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
16,0.990767717361,0.00923229567707,1.0,101,acc,none
17,0.994221150875,0.00577884027734,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
16,0.990767717361,0.00923229567707,1.0,101,acc,none
14,0.962354183197,0.0376458242536,1.0,101,acc,none
15,0.976436078548,0.0235639326274,1.0,101,acc,none
16,0.985250473022,0.0147495493293,1.0,101,acc,none
17,0.994221150875,0.00577884027734,1.0,101,acc,none
18,0.0,0.0,0.0,101,acc,none
19,0.996382832527,0.00361719285138,1.0,101,acc,none
15,0.0,0.0,0.0,101,acc,none
16,0.976436078548,0.0235639326274,1.0,101,acc,none
17,0.0,0.0,0.0,101,acc,none
16,0.985250473022,0.0147495493293,1.0,101,acc,none
20,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
17,0.990767717361,0.00923229567707,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
15,0.962354183197,0.0376458242536,1.0,101,acc,none
16,0.0,0.0,0.0,101,acc,none
17,0.990767717361,0.00923229567707,1.0,101,acc,none
18,0.994221150875,0.00577884027734,1.0,101,acc,none
21,0.0,0.0,0.0,101,acc,none
18,0.0,0.0,0.0,101,acc,none
18,0.985250473022,0.0147495493293,1.0,101,acc,none
19,0.990767717361,0.00923229567707,1.0,101,acc,none
20,0.994221150875,0.00577884027734,1.0,101,acc,none
18,0.0,0.0,0.0,101,acc,none
21,0.996382832527,0.00361719285138,1.0,101,acc,none
22,0.997735857964,0.00226413668133,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
19,0.996382832527,0.00361719285138,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
19,0.994221150875,0.00577884027734,1.0,101,acc,none
19,0.0,0.0,0.0,101,acc,none
20,0.996382832527,0.00361719285138,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
17,0.0,0.0,0.0,101,acc,none
22,0.997735857964,0.00226413668133,1.0,101,acc,none
18,0.0,0.0,0.0,101,acc,none
19,0.976436078548,0.0235639326274,1.0,101,acc,none
21,0.997735857964,0.00226413668133,1.0,101,acc,none
23,0.998582780361,0.00141720799729,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
22,0.0,0.0,0.0,101,acc,none
23,0.998582780361,0.00141720799729,1.0,101,acc,none
24,0.999112904072,0.000887083646376,1.0,101,acc,none
23,0.998582780361,0.00141720799729,1.0,101,acc,none
24,0.999112904072,0.000887083646376,1.0,101,acc,none
20,0.0,0.0,0.0,101,acc,none
25,0.999444723129,0.00055525888456,1.0,101,acc,none
21,0.985250473022,0.0147495493293,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
20,0.996382832527,0.00361719285138,1.0,101,acc,none
21,0.0,0.0,0.0,101,acc,none
22,0.990767717361,0.00923229567707,1.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
0,0.0,0.0,0.0,101,acc,none
20,0.997735857964,0.00226413668133,1.0,101,acc,none
21,0.998582780361,0.00141720799729,1.0,101,acc,none
22,0.999112904072,0.000887083646376,1.0,101,acc,none
